id;transcription;domain;intent;slots
2032;Non sei se terei covid, pídesme cita?;health;appointment;symptom
2033;Teño unha ferida infectada, podo velo coa médica?;health;appointment;symptom
2034;Quero pedir cita para que me revisen unha ferida;health;appointment;symptom
2035;Quero unha cita para que lle boten un ollo a miña nai;health;appointment;symptom
2036;Quero unha cita para o meu pai;health;appointment;symptom
2037;Pódeslle pedir unha cita a miña nai?;health;appointment;symptom
2038;Cando hai oco para unha cita?;health;appointment;symptom
2039;Cando é a próxima cita dispoñible?;health;appointment;symptom
2040;Quero unha cita, cando hai oco?;health;appointment;symptom
2041;Axenda unha cita para a miña nai, que penso que anda con gripe;health;appointment;symptom
2042;Pide cita no próximo oco para revisar a tensión;health;appointment;symptom
2043;Quero cita o luns;health;appointment;symptom
2044;Quero unha cita esta semana;health;appointment;symptom
2045;Hai oco no médico esta semana?;health;appointment;symptom
2046;Hai sitio no médico para a semana?;health;appointment;symptom
2047;A semana que vén, hai algún oco baleiro no meu médico?;health;appointment;symptom
2048;A semana que vén, queda sitio para unha cita?;health;appointment;symptom
2049;Filliña, atópome mal desde fai días, pídesme unha cita?;health;appointment;symptom
2050;Para cando me dan cita no médico?;health;appointment;symptom
2051;Quero que pidas cita na miña médica;health;appointment;symptom
2052;Dóeme o peito en canto me deito, pídesme unha cita para revisalo?;health;appointment;symptom
2053;Quero que pidas unha cita para receitas;health;appointment;symptom
2054;Quero que pidas cita na médica polo tema da diabetes;health;appointment;symptom
2055;Axenda unha cita;health;appointment;symptom
2056;Quero unha cita, que me costa respirar moito polas noites;health;appointment;symptom
2057;Pídeme cita para este martes;health;appointment;symptom
2058;Pídeme cita para o mércores;health;appointment;symptom
2059;Quero ver ao médico;health;appointment;symptom
2060;Quero que me vexa a doutora;health;appointment;symptom
2061;Pode verme o doutor mañá?;health;appointment;symptom
2062;Podo ir á médica hoxe?;health;appointment;symptom
2063;Gustaríame que lle botara un ollo a isto un médico;health;appointment;symptom
2064;Quero cita no médico canto antes;health;appointment;symptom
2065;Dáme cita canto antes;health;appointment;symptom
2066;Anótame no próximo oco baleiro da miña doutora;health;appointment;symptom
2067;Anótame en canto se poida para ir ao médico;health;appointment;symptom
2068;Ando na merda desde fai dous días, pódeme ver o doutor hoxe?;health;appointment;symptom
2069;Chama aí e pide cita, non vaia ser o demo;health;appointment;symptom
2070;Pídeme cita, no vaia ser o demo;health;appointment;symptom
2071;Levo cunha tose do demo unha semana, quero cita;health;appointment;symptom
2072;Quero que me programes unha cita, que teño dor no peito, na caixa torácica;health;appointment;symptom
2073;Pídeme cita, que levo toda a mañá con vertixes;health;appointment;symptom
2074;Dáme cita, que me doe moito ao dobrar o xeonllo;health;appointment;symptom
2075;Teño trinta e oito de febre, hai oco hoxe?;health;appointment;symptom
2076;Mira, quero que me dean unha cita canto antes;health;appointment;symptom
2077;Como fago para pedir unha cita co cacharro este?;health;appointment;symptom
2078;Explícame como teño que facer para pedir unha cita médica;health;appointment;symptom
2079;Podo pedir a cita por aquí sen chamar a médica?;health;appointment;symptom
2080;Chámasme para pedir unha nova cita?, que se me pasou a anterior;health;appointment;symptom
2081;Pasóuseme a cita, podes pedirme unha de novo?;health;appointment;symptom
2082;Pídesme cita de novo, que me esquecín de ir?;health;appointment;symptom
2083;Dixéronme que volva a pedir cita, encárgaste ti?;health;appointment;symptom
2084;Pide unha cita para a revisión anual;health;appointment;symptom
2085;Pídeme cita para a revisión no xinecólogo;health;appointment;symptom
2086;Podes pedir cita para unha revisión na uróloga?;health;appointment;symptom
2087;Pídeme cita para o primeiro luns que teñan oco;health;appointment;symptom
2088;Quero unha cita coa miña médica este martes ou mércores;health;appointment;symptom
2089;Podes pedir cita co médico o venres?;health;appointment;symptom
2090;Quero pedir cita para o martes sete, hai algún oco?;health;appointment;symptom
2091;Quero unha cita para facer unha analítica;health;appointment;type
2092;Quero unha cita para facer a analítica de urina;health;appointment;type
2093;Quero pedir unha cita coa nutricionista;health;appointment;type
2094;Pídeme unha cita para ver o resultado dunha analítica;health;appointment;type
2095;Quero pedir unha cita para unha revisión de saúde;health;appointment;type
2096;Necesito unha cita para o preoperatorio;health;appointment;type
2097;Boas, necesito unha cita en radioloxía;health;appointment;type
2098;Quero que me pidas cita para a mamografía;health;appointment;type
2099;Xa teño os resultado, pide cita para ver os resultados da mamografía;health;appointment;type
2100;Necesito programar unha citar para facer un electrocardiograma;health;appointment;type
2101;Pedíronme unha análise de sangue, pídesme cita?;health;appointment;type
2102;Pide cita para unha ecografía;health;appointment;type
2103;Quero cita para unha eco;health;appointment;type
2104;Pide cita para ver os resultados da proba co ecógrafo;health;appointment;type
2105;Teño que pedir cita para facer as curas;health;appointment;type
2106;Pide cita para cambiar a vendaxe;health;appointment;type
2107;Xa me toca facer as curas, pide cita;health;appointment;type
2108;Pide unha nova cita no dermatólogo;health;appointment;type
2109;Teño que queimar unhas verrugas, podes pedirme cita?;health;appointment;type
2110;Quero unha nova cita para ver os resultados da radiografía;health;appointment;type
2111;Para cando me podes dar cita co meu médico?;health;appointment;type
2112;Pódesme pedir cita para cardioloxía esta semana?;health;appointment;type
2113;Dixéronme que tiña que pedir cita para facer un electro;health;appointment;type
2114;Teño que pedir cita para ver os resultados do electro;health;appointment;type
2115;Pídeme cita para cardioloxía o antes posible;health;appointment;type
2116;Quero unha cita;health;appointment;type
2117;Quero pedir unha cita coa médica;health;appointment;type
2118;Quero unha cita médica;health;appointment;type
2119;Quero unha cita en atención primaria;health;appointment;type
2120;Quero pedir unha cita en atención primaria;health;appointment;type
2121;Quero pedir cita no médico;health;appointment;type
2122;Pídesme cita?;health;appointment;type
2123;Pídesme unha cita médica?;health;appointment;type
2124;Pídesme unha cita?;health;appointment;type
2125;Pídesme cita na médica no primeiro oco baleiro?;health;appointment;type
2126;Pódesme pedir cita para facer unha analítica de sangue?;health;appointment;type
2127;Quero solicitar unha analítica de ouriños;health;appointment;type
2128;Dáme cita para revisa-los resultados da analítica;health;appointment;type
2129;Quero cita para ve-los resultados das probas;health;appointment;type
2130;Necesito unha consulta de seguimento tralo tratamento;health;appointment;type
2131;Quero unha cita para realizar unha análise de feces;health;appointment;type
2132;Pídesme cita para a toma de mostras para cultivo?;health;appointment;type
2133;Solicitude de mamografía;health;appointment;type
2134;Cando podo ve-los resultados da ecografía?;health;appointment;type
2135;Dáme cita para a vacina do Covid dezanove;health;appointment;type
2136;Quero solicitar cita para poñe-la terceira dose da vacina do covid;health;appointment;type
2137;Cando hai oco para facer un test biométrico?;health;appointment;type
2138;Cando me podes dar cita para unha dermatoscopia?;health;appointment;type
2139;Teño que pedir unha cita para saca-las vías;health;appointment;type
2140;Preciso un cambio de sonda uretral. Cando hai oco?;health;appointment;type
2141;Pídeme unha consulta para revisar uns problemas coa máquina de durmir;health;appointment;type
2142;Cando me poden cambia-la vendaxe?;health;appointment;type
2143;Dáme cita para face-las curas;health;appointment;type
2144;Quero facer unha radiografía dental. Cando pode ser?;health;appointment;type
2145;Cando me van quita-los puntos?;health;appointment;type
2146;Solicítame unha cita para retira-lo infusor ;health;appointment;type
2147;Podes pedir cita para unha revisión xeral?;health;appointment;type
2148;Pídeme cita para a inxección de vitamina B doce;health;appointment;type
2149;Hai oco esta semana para vacinarse?;health;appointment;type
2150;Quero solicitar unha consulta co médico para revisa-los resultados ;health;appointment;type
2151;Teño moito frío;health;set_symptom;symptom
2152;Teño dor na zona dos cadrís;health;set_symptom;symptom
2153;Dóenme moito as costas;health;set_symptom;symptom
2154;Dóeme o lombo;health;set_symptom;symptom
2155;Dóeme a cabeza;health;set_symptom;symptom
2156;Dóenme as pernas;health;set_symptom;symptom
2157;Dóenme moito as pernas;health;set_symptom;symptom
2158;Teño o formigo polas pernas;health;set_symptom;symptom
2159;Teño o formigo por todo o corpo;health;set_symptom;symptom
2160;Pícanme moito as costas;health;set_symptom;symptom
2161;Pícame moito a cara;health;set_symptom;symptom
2162;Pícanme moito as mans;health;set_symptom;symptom
2163;Teño frío polas pernas;health;set_symptom;symptom
2164;Teño frío polas mans;health;set_symptom;symptom
2165;Dóeme o peito;health;set_symptom;symptom
2166;Formíganme as pernas;health;set_symptom;symptom
2167;Formíganme as mans;health;set_symptom;symptom
2168;Teño unha ferida no brazo;health;set_symptom;symptom
2169;Dóeme moito a barriga;health;set_symptom;symptom
2170;Dóeme moito o estómago;health;set_symptom;symptom
2171;Teño moita febre;health;set_symptom;symptom
2172;Non sinto as pernas;health;set_symptom;symptom
2173;Non sinto as mans;health;set_symptom;symptom
2174;Fendín unha perna;health;set_symptom;symptom
2175;Manquei a man;health;set_symptom;symptom
2176;Manquei a man dereita;health;set_symptom;symptom
2177;Manquei a man esquerda;health;set_symptom;symptom
2178;Non dou baixado a febre;health;set_symptom;symptom
2179;Estóupame a cabeza;health;set_symptom;symptom
2180;Pítame un oído;health;set_symptom;symptom
2181;Dóeme a gorxa;health;set_symptom;symptom
2182;Creo que me está dando un infarto;health;set_symptom;symptom
2183;Creo que teño Covid;health;set_symptom;symptom
2184;Dóeme ao mexar;health;set_symptom;symptom
2185;Teño sangue nos ouriños;health;set_symptom;symptom
2186;Teño sangue cando vou ao baño;health;set_symptom;symptom
2187;Teño moita tose;health;set_symptom;symptom
2188;Boto sangue ao mexar;health;set_symptom;symptom
2189;Boto sangue ao tusir;health;set_symptom;symptom
2190;Teño toda a pel chea de grans;health;set_symptom;symptom
2191;Teño toda a pel chea de manchas;health;set_symptom;symptom
